danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0.886,0.664,-11.795,0.0524,0.145,0.0483,0.0767,0.906,121.631,298867,2,3K7Q9PHUWPTaknlbFPThn2,Celebration
0.662,0.739,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999,188960,0,6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone
0.724,0.907,-4.78,0.0632,0.0187,4.97e-06,0.0824,0.962,139.016,244827,2,4Qn1QhHhUT01LfpBnC7xnf,Wild Wild West
0.581,0.717,-4.433,0.0318,0.0298,0.000185,0.243,0.316,107.884,236440,0,7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now
0.711,0.924,-3.398,0.0282,0.0156,0.0,0.114,0.912,108.033,248640,2,1qEHgdFqUxFebMPk8s2HLY,I Don't Feel Like Dancin' - Radio Edit
0.727,0.83,-6.658,0.0376,0.023,0.00362,0.73,0.899,118.002,240707,7,1jI1aLmm5HTwiMtvsbwDJw,Who Do You Think You Are
0.581,0.498,-6.9,0.0276,0.198,0.0,0.132,0.111,116.262,206360,0,63CHa6rmamv9OsehkRD8oz,Against All Odds (Take a Look at Me Now) - 2016 Remaster
0.954,0.614,-11.48,0.106,0.0816,9.25e-05,0.086,0.839,117.548,265667,2,4CYyheknaH5R2xfEndtixD,Bust A Move
0.65,0.306,-9.443,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,180056,5,3SdTKo2uVsxFblQjpScoHy,Stand By Me
0.52,0.709,-7.125,0.0352,0.247,1.78e-05,0.18,0.536,76.039,263560,0,6urCAbunOQI4bLhmGpX7iS,Don't Speak
0.759,0.85,-7.156,0.0418,0.456,1.72e-06,0.488,0.963,149.211,234653,7,4wswaG5vmNINMZcVBsAyBP,Got My Mind Set On You - Remastered 2004
0.596,0.448,-9.616,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,5,1bp2IO61zbQrbWNmKKxg3f,The Joker
0.68,0.625,-7.0,0.0353,0.0645,5.81e-05,0.109,0.814,94.02,266000,2,3x4yV0hW5Ve3TKhFkXSqFn,If You Had My Love
0.702,0.578,-13.415,0.031,0.382,5.89e-06,0.0425,0.975,111.617,363640,2,5izGeTxueiFX1UPFGohY9w,Addicted To Love
0.628,0.871,-6.44,0.0363,0.0077,1.64e-06,0.392,0.615,106.101,232067,7,3XorCFmcupSm5QS6hA9g4N,I Want You
0.481,0.638,-5.862,0.0276,0.153,0.0,0.154,0.497,79.064,259933,0,2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me)
0.533,0.783,-10.61,0.0366,0.0116,0.0565,0.186,0.726,124.874,234907,0,07ABETRdek3ACMpRPvQuaT,Always on My Mind
0.328,0.936,-3.254,0.0628,0.0665,2.61e-06,0.165,0.31,162.97,289560,4,12dU3vAh6AFoJkisorfoUl,Don't Look Back in Anger - Remastered
0.66,0.897,-5.558,0.0257,0.00316,2.25e-05,0.116,0.67,111.196,219133,2,5LeDMHIZ5YDZ2b1VOcYVcG,Hot In The City
0.456,0.573,-3.866,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,238560,5,3TCauNPqFiniaYHBvEVoHG,Beautiful
0.848,0.838,-11.949,0.0721,0.0326,4.89e-06,0.124,0.787,97.736,271067,2,1k28sDTLOz942qa3wEtMQE,O.P.P
0.64,0.852,-8.119,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,246520,2,37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth
0.71,0.963,-4.787,0.0277,0.00859,0.0133,0.218,0.968,129.965,171747,2,37a8EdVw7VpAlRG4oASxIm,Out of Touch - Radio Edit
0.628,0.66,-12.262,0.0437,0.00994,0.51,0.398,0.437,144.635,367453,6,1UPJoPSCpOzYcRBq5nc586,Underneath the Radar
0.562,0.709,-4.92,0.0424,0.00124,0.0,0.109,0.401,91.958,225147,0,6O20JhBJPePEkBdrB5sqRx,Diamonds
0.397,0.949,-4.741,0.12,0.0575,0.000388,0.215,0.589,129.368,237467,4,2Ywft2Thbf7mPyoD2ntadi,Suspicious Minds
0.72,0.808,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041,307154,2,70HxNVlYQ0Hi6XqBtPLw80,Lady - Hear Me Tonight
0.899,0.422,-11.238,0.0509,0.202,5.08e-06,0.0864,0.852,109.147,276533,2,3lIpkjFnRxJ6Uvm8DgtgfV,Sign Your Name
0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,0,3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida
0.635,0.684,-11.687,0.0329,0.088,0.156,0.0755,0.892,120.269,268547,2,05oFyvdztPdpwSwpoclD4c,"If You Leave - From ""Pretty In Pink"""
0.979,0.792,-2.784,0.0388,0.0025,7.71e-06,0.102,0.583,116.012,254467,2,3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby
0.869,0.648,-8.698,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,2,3koCCeSaVUyrRo3N2gHrd8,Let's Groove
0.565,0.564,-10.044,0.0292,0.161,0.0,0.114,0.454,134.358,295533,0,0jWgAnTrNZmOGmqgvHhZEm,What's Up?
0.535,0.801,-11.734,0.0345,0.00103,0.00329,0.0676,0.672,155.571,251573,4,3xzRBn3ywzobJrc1efC7Sb,I Melt with You
0.832,0.553,-13.705,0.0487,0.0422,0.00356,0.249,0.89,119.825,215693,2,6Lphpr9Z6H282Sguw0dUWa,Le Freak
0.595,0.717,-4.803,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,0,1G391cbiT3v3Cywg8T7DM1,Scar Tissue
0.697,0.611,-11.746,0.0258,0.18,2.04e-06,0.0876,0.808,129.96,233493,2,2J9yZBKajggHsCmoSiaVCw,Together In Electric Dreams
0.805,0.479,-14.734,0.0436,0.0627,0.000143,0.104,0.962,128.411,201293,2,5rfJ2Bq2PEL8yBjZLzouEu,Who Can It Be Now?
0.675,0.479,-9.87,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,5,5pbajJXEPdcoXQPXoAVR1t,You're Beautiful
0.613,0.962,-5.36,0.0897,0.00228,0.00896,0.123,0.694,119.962,232627,2,6XxFTFauoIwxcEjeped3Iz,Suicide Blonde
0.497,0.349,-14.0,0.0297,0.0929,0.028,0.259,0.421,113.762,365627,5,5gOd6zDC8vhlYjqbQdJVWP,Baker Street
